Que,Intent,I1,I2
How to request for a loan?,Policy 1,0,1
How to request General Purpose Loans?,Policy 1,0,1
How to request Primary Residence Loans?,Policy 1,0,1
How to set up Direct Deposit?,Policy 2,1,0
How to verify the eligibility within 60 day of enrolling your dependent,Policy 2,1,0
How to view all of paychecks online?,Policy 2,1,0
How to withdraw after age 59  in Nonhardship Withdrawal in In-Service Withdrawals,Policy 1,0,1
how to withdraw If you are in active qualified military service,Policy 1,0,1
How unvoted shares are voted ,Policy 1,0,1
how will  Discover encourages you to review the Special Tax Notice ,Policy 1,0,1
How will post-distribution decreases in the value of distributed stock be taxed?,Policy 1,0,1
How will post-distribution increases in the value of distributed stock be taxed?,Policy 1,0,1
How you will receive a Benefits Welcome packet from myHR,Policy 2,1,0
I  do not have a current direction on file,Policy 1,0,1
I  made a Catch-Up Contribution to another employers plan in the current calendar year,Policy 1,0,1
I  participated in another employers 1 for any portion of the year,Policy 1,0,1
"I am a full time employee, am I eligible for 401K?",Policy 1,0,1
I am from Florida and applying loan,Policy 1,0,1
I elect the BCBS HSA medical plan option,Policy 2,1,0
I have a loan in existence prior to active military service,Policy 1,0,1
I have a payroll question or problem,Policy 2,1,0
I left employment with Discover while I have a loan outstanding Loan,Policy 1,0,1
I left employment with Discover while I have not repaid the loan,Policy 1,0,1
I left job with Discover while I have a loan outstanding Loan,Policy 1,0,1
I left job with Discover while I have not repaid the loan,Policy 1,0,1
I left the company for 2 years how would the vesting work?,Policy 1,0,1
I need to decrease my contribution,Policy 1,0,1
I need to increase my contribution,Policy 1,0,1
I terminate employment with Discover while I have a loan outstanding Loan,Policy 1,0,1
I terminate employment with Discover while I have not repaid the loan,Policy 1,0,1
I terminate job with Discover while I have a loan outstanding Loan,Policy 1,0,1
I terminate job with Discover while I have not repaid the loan,Policy 1,0,1
I want more detailed information on Net Unrealized Appreciation,Policy 1,0,1
I want more detailed information on NUA,Policy 1,0,1
I want more information on Investment options ,Policy 1,0,1
I want more information regarding the default investment fund,Policy 1,0,1
I want to borrow money from 1 account,Policy 1,0,1
I want to change my contribution,Policy 1,0,1
I want to know  about Service Crediting,Policy 1,0,1
I want to know  how  special tax rule on net unrealized appreciation function,Policy 1,0,1
I want to know  how  special tax rule on net unrealized appreciation work,Policy 1,0,1
I want to know  how  special tax rule on NUA function,Policy 1,0,1
I want to know  how  special tax rule on NUA work,Policy 1,0,1
I want to know about  Agent for Service of Legal Process  in Other Important Information,Policy 1,0,1
I want to know about  All Appeals Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B,Policy 1,0,1
I want to know about  All claims Procedures That Apply to Claims Filed With the Claims Committee in Appendix B,Policy 1,0,1
I want to know about  Automatic Pre-Tax Contributions 1,Policy 1,0,1
I want to know about  Discretionary Authority of Plan Administrators in Appendix B,Policy 1,0,1
I want to know about  Exhaustion of Administrative Remedies in  Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B,Policy 1,0,1
I want to know about  Limits on Catch-Up Contributions,Policy 1,0,1
I want to know about  Limits on Employee and Catch-Up Contributions,Policy 1,0,1
I want to know about  Limits on Employee Contributions,Policy 1,0,1
I want to know about  Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B,Policy 1,0,1
I want to know about 1,Policy 1,0,1
I want to know about 1  Limits,Policy 1,0,1
I want to know about 24/7 Nurseline ,Policy 2,1,0
I want to know about After-Tax Contributions,Policy 1,0,1
I want to know about Appendix A 1 ,Policy 1,0,1
I want to know about Appendix B,Policy 1,0,1
I want to know about Assignments  or Pledges  in Other Important Information,Policy 1,0,1
I want to know about Assistance with Your Questions in Other Important Information,Policy 1,0,1
I want to know about Beneficiaries,Policy 1,0,1
I want to know about Beneficiary Designation in Beneficiaries,Policy 1,0,1
I want to know about Catch-Up Contributions 1,Policy 1,0,1
I want to know about Company Contributions  ,Policy 1,0,1
I want to know about Company Contributions 1,Policy 1,0,1
I want to know about Confirmation of Your Elections in Other Important Information,Policy 1,0,1
I want to know about Contributions  1,Policy 1,0,1
I want to know about Dental plan,Policy 2,1,0
I want to know about Discover 24/7 Nurseline ,Policy 2,1,0
I want to know about Discover Dental plan,Policy 2,1,0
I want to know about Discover Healthcare FSA,Policy 2,1,0
I want to know about Discover medical plan,Policy 2,1,0
I want to know about Discover MetLife Dental Plan plan,Policy 2,1,0
I want to know about Discover Retiree medical plan,Policy 2,1,0
I want to know about Discover Vision Benefits,Policy 2,1,0
I want to know about Discover Weight Watchers ,Policy 2,1,0
I want to know about Discretionary Authority of Plan Administrator and Other Plan Fiduciaries in Other Important Information,Policy 1,0,1
I want to know about Dividend Payment Election,Policy 1,0,1
I want to know about Eligibility and Participation 1,Policy 1,0,1
I want to know about Eligibility of 1,Policy 1,0,1
I want to know about Employee Contributions 1,Policy 1,0,1
I want to know about Enforce Your Rights in Other Important Information,Policy 1,0,1
I want to know about Federal Income Withholding Taxes in Taxation of Distributions,Policy 1,0,1
I want to know about Forfeitures 1,Policy 1,0,1
I want to know about General Claims & Appeals Process in Appendix B,Policy 1,0,1
I want to know about General Purpose Loans,Policy 1,0,1
I want to know about Healthcare FSA,Policy 2,1,0
I want to know about If the 1 is Terminated or Modified  in Other Important Information,Policy 1,0,1
I want to know about Important Tax Implications,Policy 1,0,1
I want to know about In General Procedures That Apply to Claims Filed With the Claims Committee in Appendix B,Policy 1,0,1
I want to know about Investment alternatives,Policy 1,0,1
I want to know about Investment Options ,Policy 1,0,1
I want to know about Leaves of Absence,Policy 1,0,1
I want to know about Legal and Compliance Department  in Other Important Information,Policy 1,0,1
I want to know about Limits on Company Contributions,Policy 1,0,1
I want to know about Limits on Total Contributions,Policy 1,0,1
I want to know about Live well,Policy 2,1,0
I want to know about Live well Balance  ,Policy 2,1,0
I want to know about Live well Health   ,Policy 2,1,0
I want to know about Live well Health wealth Balance,Policy 2,1,0
I want to know about Live well Wealth   ,Policy 2,1,0
I want to know about Livewell,Policy 2,1,0
I want to know about Livewell Balance  ,Policy 2,1,0
I want to know about Livewell Health   ,Policy 2,1,0
I want to know about Livewell Health wealth Balance,Policy 2,1,0
I want to know about Livewell Wealth   ,Policy 2,1,0
I want to know about Loan Default,Policy 1,0,1
I want to know about Loan Default Terminate Employment,Policy 1,0,1
I want to know about Loan Default While Active,Policy 1,0,1
I want to know about Loans,Policy 1,0,1
I want to know about loans,Policy 1,0,1
I want to know about Matching Company Contributions,Policy 1,0,1
I want to know about Matching Contributions 1,Policy 1,0,1
I want to know about medical plan,Policy 2,1,0
I want to know about MetLife Dental Plan plan,Policy 2,1,0
I want to know about Military Service in loans,Policy 1,0,1
I want to know about net unrealized appreciation,Policy 1,0,1
I want to know about net unrealized appreciation (NUA),Policy 1,0,1
I want to know about No Guarantee of  Employment  in Other Important Information,Policy 1,0,1
I want to know about NUA,Policy 1,0,1
I want to know about Participating Employers  in Other Important Information,Policy 1,0,1
I want to know about Participation of 1,Policy 1,0,1
I want to know about Plan Administrator  in Other Important Information,Policy 1,0,1
I want to know about Plan Documents Govern  in Other Important Information,Policy 1,0,1
I want to know about Plan Sponsor  in Other Important Information,Policy 1,0,1
I want to know about Plan Trustee,Policy 1,0,1
I want to know about Plan Year in Other Important Information,Policy 1,0,1
I want to know about Pre-Tax Contributions 1,Policy 1,0,1
I want to know about Primary Residence Loans,Policy 1,0,1
I want to know about Procedures That Apply to Claims Filed With the Claims Committee in Appendix B,Policy 1,0,1
I want to know about Prudent Actions by Plan Fiduciaries in Other Important Information,Policy 1,0,1
I want to know about Receive Information about Your Plan and Benefits in Other Important Information,Policy 1,0,1
I want to know about Repaying a Loan,Policy 1,0,1
I want to know about Required Distribution,Policy 1,0,1
I want to know about Restrictions on Trading,Policy 1,0,1
I want to know about Retiree medical plan,Policy 2,1,0
I want to know about Sponsors Employer Identification Number  in Other Important Information,Policy 1,0,1
I want to know about State Withholding Taxes  in Taxation of Distributions,Policy 1,0,1
I want to know about Taxation of Distributions,Policy 1,0,1
I want to know about Tender Offers Rules in Voting Rights on Shares in the 1,Policy 1,0,1
I want to know about Top-Heavy Rules  in Other Important Information,Policy 1,0,1
I want to know about Transferring  Money,Policy 1,0,1
I want to know about Type of Plan in Other Important Information,Policy 1,0,1
I want to know about Vesting 1,Policy 1,0,1
I want to know about Vision Benefits,Policy 2,1,0
I want to know about Voting Rights on Shares in the 1,Policy 1,0,1
I want to know about Voting Rules in Voting Rights on Shares in the 1,Policy 1,0,1
I want to know about Weight Watchers ,Policy 2,1,0
I want to know about Your ERISA Rights in Other Important Information,Policy 1,0,1
I want to know aboutOther Important Information,Policy 1,0,1
I want to know aboutPlan Confidentiality of Voting Rights on Shares in the 1,Policy 1,0,1
I want to know Plan Name and Number in  Other Important Information,Policy 1,0,1
I want to know something about general purpose loans,Policy 1,0,1
I want to know something about loan processing fees,Policy 1,0,1
I want to know something about loan repayment,Policy 1,0,1
I want to know something about loans,Policy 1,0,1
I want to know something about primary residence loans,Policy 1,0,1
I want to know Transition Credit Contributions 1,Policy 1,0,1
I want to learn about loans,Policy 1,0,1
I what to know about Rollover Contributions 1,Policy 1,0,1
I would like to know something about hardship withdrawal.,Policy 1,0,1
I'd like some advice on the max I can contribute,Policy 1,0,1
"If I diversify some or all of my Discover shares, but later reinvest in Discover Stock, can I still qualify for the special tax treatment on NUA?",Policy 1,0,1
"If I take a loan from my 401k, do I have to pay a interest?",Policy 1,0,1
"if i take a loan from my 401k, do i have to pay an interest",Policy 1,0,1
If I was a contractor does that count towards vesting?,Policy 1,0,1
"If I'm not fully vested, how much do I get?",Policy 1,0,1
If Iremain on leave in excess of 90 days and have not made the required repayments,Policy 1,0,1
If the 1 is Terminated or Modified,Policy 1,0,1
If the 1 is Terminated or Modified  in Other Important Information in the 1,Policy 1,0,1
If you are in active qualified military service in Nonhardship Withdrawal in In-Service Withdrawals ,Policy 1,0,1
If you are or were on active military service and wish to take advantage of either of these provisions,Policy 1,0,1
"im a full time employee, am i eligible",Policy 1,0,1
"im a full time employee, am i qualified for starting 401k",Policy 1,0,1
In General Procedures That Apply to Claims Filed With the Claims Committee in Appendix B in the 1,Policy 1,0,1
In what ways my Plan distribution reported to the IRS?,Policy 1,0,1
Increase automatic contributions  1,Policy 1,0,1
Increase automatic contributions/escalations,Policy 1,0,1
Increase automatic escalations  1,Policy 1,0,1
Increase or stop automatic contributions  ,Policy 1,0,1
Increase or stop automatic contributions/escalations,Policy 1,0,1
Increase or stop automatic escalations,Policy 1,0,1
Information about  Balance Benefits Resources,Policy 2,1,0
Information about  Health Benefits Resources,Policy 2,1,0
Information about  wealth Benefits Resources,Policy 2,1,0
Information about Benefits Enrollment Categories,Policy 2,1,0
Information about Benefits Enrollment Deductions in Default Benefits: Day One,Policy 2,1,0
Information about Benefits Enrollment Process,Policy 2,1,0
Information about Benefits Resources,Policy 2,1,0
Information about Critical Benefits Enrollment Tips for myHR in Default Benefits: Day One,Policy 2,1,0
Information about Default Benefits: Day One,Policy 2,1,0
Information about Default Coverage (if you do nothing) in Default Benefits: Day One,Policy 2,1,0
Information about Health and Welfare Eligible Earnings (HWEE),Policy 2,1,0
Information needed to access myHR,Policy 2,1,0
Information on  Adoption Assistance balance benefit in benefit  resources,Policy 2,1,0
Information on  All Appeals Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B,Policy 1,0,1
Information on  All claims Procedures That Apply to Claims Filed With the Claims Committee in Appendix B,Policy 1,0,1
Information on  Dependent Day Care FSA balance benefit in benefit  resources,Policy 2,1,0
Information on  Discretionary Authority of Plan Administrators in Appendix B,Policy 1,0,1
Information on  Exhaustion of Administrative Remedies in  Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B,Policy 1,0,1
Information on  Live and Work Well balance benefit in benefit  resources,Policy 2,1,0
Information on  Military Leave Make-Up Contributions in Leaves of Absence,Policy 1,0,1
Information on  Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B,Policy 1,0,1
Information on 401(k) wealth benefit in benefit  resources,Policy 2,1,0
Information on Accidental Death & Dismemberment (AD&D) Insurance wealth benefit in benefit  resources,Policy 2,1,0
Information on Agent for Service of Legal Process  in Other Important Information,Policy 1,0,1
Information on Appendix B,Policy 1,0,1
Information on Assignments  or Pledges  in Other Important Information,Policy 1,0,1
Information on Assistance with Your Questions in Other Important Information,Policy 1,0,1
Information on Auto & Homeowners Insurance Benefit balance  benefit in benefit  resources,Policy 2,1,0
Information on Automatic  Payment in Distributions Under the Plan,Policy 1,0,1
Information on Basic Life Insurance wealth benefit in benefit  resources,Policy 2,1,0
Information on Beneficiaries,Policy 1,0,1
Information on Beneficiary Designation in Beneficiaries,Policy 1,0,1
Information on Business Travel Accident Insurance wealth benefit in benefit  resources,Policy 2,1,0
Information on C.A.R.E. Program balance  benefit in benefit  resources,Policy 2,1,0
Information on Child Care Discounts balance  benefit in benefit  resources,Policy 2,1,0
Information on Confirmation of Your Elections in Other Important Information,Policy 1,0,1
Information on Deferring Your Payment in Distributions Under the Plan,Policy 1,0,1
Information on dental health benefit in benefit  resources,Policy 2,1,0
Information on Direct Rollover in Distributions Under the Plan,Policy 1,0,1
Information on Discretionary Authority of Plan Administrator and Other Plan Fiduciaries in Other Important Information,Policy 1,0,1
Information on Distributions Under the Plan,Policy 1,0,1
"Information on Employee Stock Purchase
Plan (ESPP) wealth benefit in benefit  resources",Policy 2,1,0
Information on Enforce Your Rights in Other Important Information,Policy 1,0,1
Information on Federal Income Withholding Taxes in Taxation of Distributions,Policy 1,0,1
Information on Final Distribution in Distributions Under the Plan,Policy 1,0,1
Information on General Claims & Appeals Process in Appendix B,Policy 1,0,1
Information on Hardship Withdrawal in In-Service Withdrawals,Policy 1,0,1
Information on Healthcare Flexible Spending Account (FSA) health benefit in benefit  resources,Policy 2,1,0
Information on If the 1 is Terminated or Modified  in Other Important Information,Policy 1,0,1
Information on In General Procedures That Apply to Claims Filed With the Claims Committee in Appendix B,Policy 1,0,1
Information on In-Service Withdrawals,Policy 1,0,1
Information on iRefer Employee Referral Program balance  benefit in benefit  resources,Policy 2,1,0
Information on Leaves of Absence,Policy 1,0,1
Information on Legal and Compliance Department  in Other Important Information,Policy 1,0,1
Information on Long Term Disability Insurance wealth benefit in benefit  resources,Policy 2,1,0
Information on Medical health benefit in benefit  resources,Policy 2,1,0
Information on No Guarantee of  Employment  in Other Important Information,Policy 1,0,1
Information on Nonhardship Withdrawal in In-Service Withdrawals,Policy 1,0,1
Information on Other Important Information,Policy 1,0,1
Information on Partial Payments in Distributions Under the Plan,Policy 1,0,1
Information on Participating Employers  in Other Important Information,Policy 1,0,1
Information on Pet Insurance balance  benefit in benefit  resources,Policy 2,1,0
Information on Plan Administrator  in Other Important Information,Policy 1,0,1
Information on Plan Confidentiality of Voting Rights on Shares in the 1,Policy 1,0,1
Information on Plan Documents Govern  in Other Important Information,Policy 1,0,1
Information on Plan Name and Number in  Other Important Information,Policy 1,0,1
Information on Plan Sponsor  in Other Important Information,Policy 1,0,1
Information on Plan Trustee,Policy 1,0,1
Information on Plan Year  in Other Important Information,Policy 1,0,1
Information on Procedures That Apply to Claims Filed With the Claims Committee in Appendix B,Policy 1,0,1
Information on Prudent Actions by Plan Fiduciaries in Other Important Information,Policy 1,0,1
Information on Receive Information about Your Plan and Benefits in Other Important Information,Policy 1,0,1
Information on Required Distribution,Policy 1,0,1
Information on Short Term Disability Insurance wealth benefit in benefit  resources,Policy 2,1,0
Information on Sponsors Employer Identification Number  in Other Important Information,Policy 1,0,1
Information on State Withholding Taxes Taxes in Taxation of Distributions,Policy 1,0,1
Information on Suspension for Withdrawing Pre-Tax Contributions in In-Service Withdrawals,Policy 1,0,1
Information on Taxation of Distributions,Policy 1,0,1
Information on Tender Offers Rules in Voting Rights on Shares in the 1,Policy 1,0,1
Information on The Legal Assistance Plan. balance  benefit in benefit  resources,Policy 2,1,0
Information on The Paid Time Off (PTO),Policy 2,1,0
Information on The Payroll Schedule,Policy 2,1,0
Information on The Prorated (PTO) for 1st Year in  Paid Time Off (PTO),Policy 2,1,0
Information on Top-Heavy Rules  in Other Important Information,Policy 1,0,1
Information on Tuition Reimbursement balance  benefit in benefit  resources,Policy 2,1,0
Information on Type of Plan  in Other Important Information,Policy 1,0,1
Information on vision health benefit in benefit  resources,Policy 2,1,0
Information on Voting Rights on Shares in the 1,Policy 1,0,1
Information on Voting Rules in Voting Rights on Shares in the 1,Policy 1,0,1
Information on Wageworks Commuter Benefits balance  benefit in benefit  resources,Policy 2,1,0
Information on Weight Watchers health benefit in benefit  resources,Policy 2,1,0
Information on withdrawals and distributions  in Nonhardship Withdrawal in In-Service Withdrawals,Policy 1,0,1
Information on Your ERISA Rights in Other Important Information,Policy 1,0,1
"Information on24/7 Nurseline & Health
Coaching health benefit in benefit  resources",Policy 2,1,0
Information required to access myHR,Policy 2,1,0
In-Service Withdrawals,Policy 1,0,1
Interest for Loans that have been deemed in default ,Policy 1,0,1
Interest on the loan Terminate Employment,Policy 1,0,1
Introduction to 1,Policy 1,0,1
IRS limits in the U.S Pre-Tax Contributions,Policy 1,0,1
Is there a catchup contribution,Policy 1,0,1
Is there a penalty for doing a hardship withdrawal,Policy 1,0,1
Is there a penalty for doing a hardship withdrawal?,Policy 1,0,1
Is there a recommended contribution amount?,Policy 1,0,1
Is there a restriction on how often I can change my contributions?,Policy 1,0,1
Is there automatic rebalancing,Policy 1,0,1
Leaves of Absence,Policy 1,0,1
Leaves of Absence in 401k plan,Policy 1,0,1
Legal and Compliance Department,Policy 1,0,1
Legal and Compliance Department  in Other Important Information in the 1,Policy 1,0,1
Legal Assistance Plan is administered by whom?,Policy 2,1,0
Lens treatment for Discover employees,Policy 2,1,0
Link for Access Information and Resources,Policy 2,1,0
Link to set up Direct Deposit,Policy 2,1,0
Link to view all of paychecks online,Policy 2,1,0
Live and Work Well  the Employee Assistance Program,Policy 2,1,0
Live well Balance benefit,Policy 2,1,0
Live well Balance benefit details,Policy 2,1,0
Live well Balance benefit for employees,Policy 2,1,0
Live well Balance details,Policy 2,1,0
Live well Balance programs  Covered by Discover,Policy 2,1,0
Live well Balance programs  Paid by Employee,Policy 2,1,0
Live well Balance programs Automatic : Covered by Discover,Policy 2,1,0
Live well Balance programs Optional : Paid by Employee,Policy 2,1,0
Live well Health benefit,Policy 2,1,0
Live well Health benefit details,Policy 2,1,0
Live well Health benefit for employees,Policy 2,1,0
Live well Health details,Policy 2,1,0
Live well Health wealth Balance Overview,Policy 2,1,0
Live well Overview,Policy 2,1,0
Live well Wealth benefit,Policy 2,1,0
Live well Wealth benefit details,Policy 2,1,0
Live well Wealth benefit for employees,Policy 2,1,0
Live well Wealth details,Policy 2,1,0
Livewell Balance benefit,Policy 2,1,0
Livewell Balance benefit details ,Policy 2,1,0
Livewell Balance benefit for employees,Policy 2,1,0
Livewell Balance details,Policy 2,1,0
Livewell Balance programs  Covered by Discover,Policy 2,1,0
Livewell Balance programs  Paid by Employee,Policy 2,1,0
Livewell Balance programs Automatic : Covered by Discover,Policy 2,1,0
Livewell Balance programs Optional : Paid by Employee,Policy 2,1,0
Livewell Health benefit,Policy 2,1,0
Livewell Health benefit details ,Policy 2,1,0
Livewell Health benefit for employees,Policy 2,1,0
Livewell Health details,Policy 2,1,0
Livewell Health wealth Balance Overview,Policy 2,1,0
Livewell Overview,Policy 2,1,0
Livewell Wealth benefit,Policy 2,1,0
Livewell Wealth benefit details ,Policy 2,1,0
Livewell Wealth benefit for employees,Policy 2,1,0
Livewell Wealth details,Policy 2,1,0
Loan default unpaid leave for more than 12 months,Policy 1,0,1
Loan default unpaid leave for more than 12 months notified by myHR,Policy 1,0,1
Loan payoff amounts quoted will require an additional payroll repayment,Policy 1,0,1
Loan payoff check does not exactly match the quoted amount,Policy 1,0,1
Loan reaches its original maturity date and the loan still has an outstanding balance,Policy 1,0,1
Loan repayments termination of employment,Policy 1,0,1
Loan terms?,Policy 1,0,1
Long-Term Disability (LTD) Insurance coverage,Policy 2,1,0
Long-Term Disability loan repayments,Policy 1,0,1
Maximum loan amount,Policy 1,0,1
Maximum loan I can apply,Policy 1,0,1
Maximum loan I can borrow,Policy 1,0,1
Maximum loan I can take,Policy 1,0,1
Maximum Reimbursement expenses in Adoption of a child,Policy 2,1,0
Medical plan for Discover employees,Policy 2,1,0
Medical plan for employees,Policy 2,1,0
Medical Plan for Employees in Hawaii,Policy 2,1,0
Medical Plan for Employees in the U.S,Policy 2,1,0
Medical Plan for Employees who live in Hawaii,Policy 2,1,0
Medical Plan for Employees who live in the U.S,Policy 2,1,0
MetLife Dental Plan plan for Discover employees,Policy 2,1,0
MetLife Dental Plan plan for employees,Policy 2,1,0
Military request a suspension of loan repayment,Policy 1,0,1
Minimum and maximum loan I can borrow,Policy 1,0,1
Minimum and maximum loan I can get,Policy 1,0,1
Minimum loan amount,Policy 1,0,1
Minimum loan I can apply,Policy 1,0,1
Minimum loan I can borrow,Policy 1,0,1
Minimum loan I can take,Policy 1,0,1
Minimum loan term General Purpose Loans,Policy 1,0,1
Minimum loan term Primary Residence Loans,Policy 1,0,1
Minimum percentage of fixed contribution made by  Discover,Policy 1,0,1
Monday to Friday contact myHR,Policy 2,1,0
Multiple child care types of centers,Policy 2,1,0
"Must enroll within 31 days;
change only with
Qualified Life Event in Benefits Enrollment Categories",Policy 2,1,0
My contribution is 3% through 6% of your Eligible Pay,Policy 1,0,1
My contribution is First 2% of  Eligible Pay,Policy 1,0,1
name the  All Appeals Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B,Policy 1,0,1
name the  All claims Procedures That Apply to Claims Filed With the Claims Committee in Appendix B,Policy 1,0,1
name the  Automatic  Payment in Distributions Under the Plan,Policy 1,0,1
name the  Dependent Day Care FSA balance benefit in benefit  resources,Policy 2,1,0
name the  Discretionary Authority of Plan Administrators in Appendix B,Policy 1,0,1
name the  Exhaustion of Administrative Remedies in  Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B,Policy 1,0,1
name the  Final Distribution in Distributions Under the Plan,Policy 1,0,1
name the  Live and Work Well balance benefit in benefit  resources,Policy 2,1,0
name the  Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B,Policy 1,0,1
"name the 24/7 Nurseline & Health
Coaching health benefit in benefit  resources",Policy 2,1,0
name the 401(k) wealth benefit in benefit  resources,Policy 2,1,0
name the Accidental Death & Dismemberment (AD&D) Insurance wealth benefit in benefit  resources,Policy 2,1,0
name the Adoption Assistance balance benefit in benefit  resources,Policy 2,1,0
name the Agent for Service of Legal Process  in Other Important Information,Policy 1,0,1
name the Appendix B,Policy 1,0,1
name the Assignments  or Pledges in Other Important Information,Policy 1,0,1
name the Assistance with Your Questionsin Other Important Information,Policy 1,0,1
name the Auto & Homeowners Insurance Benefit balance benefit in benefit  resources,Policy 2,1,0
name the Basic Life Insurance wealth benefit in benefit  resources,Policy 2,1,0
name the Beneficiaries,Policy 1,0,1
name the Beneficiary Designation in Beneficiaries,Policy 1,0,1
name the Business Travel Accident Insurance wealth benefit in benefit  resources,Policy 2,1,0
name the C.A.R.E. Program balance benefit in benefit  resources,Policy 2,1,0
name the Child Care Discounts balance benefit in benefit  resources,Policy 2,1,0
name the Confirmation of Your Electionsin Other Important Information,Policy 1,0,1
name the Deferring Your Payment in Distributions Under the Plan,Policy 1,0,1
name the dental health benefit in benefit  resources,Policy 2,1,0
name the Direct Rollover in Distributions Under the Plan,Policy 1,0,1
name the Discretionary Authority of Plan Administrator and Other Plan Fiduciariesin Other Important Information,Policy 1,0,1
name the Distributions Under the Plan,Policy 1,0,1
"name the Employee Stock Purchase
Plan (ESPP) wealth benefit in benefit  resources",Policy 2,1,0
name the Enforce Your Rightsin Other Important Information,Policy 1,0,1
name the Federal Income Withholding Taxes in Taxation of Distributions,Policy 1,0,1
name the General Claims & Appeals Process in Appendix B,Policy 1,0,1
name the Hardship Withdrawal in In-Service Withdrawals,Policy 1,0,1
name the Healthcare Flexible Spending Account (FSA) health benefit in benefit  resources,Policy 2,1,0
name the If the 1 is Terminated or Modified  in Other Important Information,Policy 1,0,1
name the In General Procedures That Apply to Claims Filed With the Claims Committee in Appendix B,Policy 1,0,1
name the In-Service Withdrawals,Policy 1,0,1
name the iRefer Employee Referral Program balance benefit in benefit  resources,Policy 2,1,0
name the Leaves of Absence,Policy 1,0,1
name the Legal and Compliance Department in Other Important Information,Policy 1,0,1
name the Long Term Disability Insurance wealth benefit in benefit  resources,Policy 2,1,0
name the Medical health benefit in benefit  resources,Policy 2,1,0
name the Military Leave Make-Up Contributions in Leaves of Absence,Policy 1,0,1
name the No Guarantee of  Employment in Other Important Information,Policy 1,0,1
name the Nonhardship Withdrawal in In-Service Withdrawals,Policy 1,0,1
name the Other Important Information,Policy 1,0,1
name the Paid Time Off (PTO),Policy 2,1,0
name the Participating Employers in Other Important Information,Policy 1,0,1
name the Payroll Schedule,Policy 2,1,0
name the Pet Insurance balance benefit in benefit  resources,Policy 2,1,0
name the Plan Administrator  in Other Important Information,Policy 1,0,1
name the Plan Confidentiality of Voting Rights on Shares in the 1,Policy 1,0,1
name the Plan Documents Govern in Other Important Information,Policy 1,0,1
name the Plan Name and Number in  Other Important Information,Policy 1,0,1
name the Plan Sponsor  in Other Important Information,Policy 1,0,1
name the Plan Trustee in Other Important Information,Policy 1,0,1
name the Plan Year  in Other Important Information,Policy 1,0,1
name the Procedures That Apply to Claims Filed With the Claims Committee in Appendix B,Policy 1,0,1
name the Prorated (PTO) for 1st Year in Paid Time Off (PTO),Policy 2,1,0
name the Prudent Actions by Plan Fiduciariesin Other Important Information,Policy 1,0,1
name the Receive Information about Your Plan and Benefitsin Other Important Information,Policy 1,0,1
name the Required Distribution,Policy 1,0,1
name the Short Term Disability Insurance wealth benefit in benefit  resources,Policy 2,1,0
name the Sponsors Employer Identification Number  in Other Important Information,Policy 1,0,1
name the State Withholding Taxes in Taxation of Distributions,Policy 1,0,1
name the Taxation of Distributions,Policy 1,0,1
name the Tender Offers Rules in Voting Rights on Shares in the 1,Policy 1,0,1
name the Top-Heavy Rules in Other Important Information,Policy 1,0,1
name the Tuition Reimbursementbalance benefit in benefit  resources,Policy 2,1,0
name the Type of Plan  in Other Important Information,Policy 1,0,1
name the vision health benefit in benefit  resources,Policy 2,1,0
name the Wageworks Commuter Benefitsbalance benefit in benefit  resources,Policy 2,1,0
name the Weight Watchers health benefit in benefit  resources,Policy 2,1,0
name the Your ERISA Rightsin Other Important Information,Policy 1,0,1
name thePartial Payments in Distributions Under the Plan,Policy 1,0,1
name theSuspension for Withdrawing Pre-Tax Contributions in In-Service Withdrawals,Policy 1,0,1
name theThe Legal Assistance Plan. balance benefit in benefit  resources,Policy 2,1,0
name theVoting Rights on Shares in the 1,Policy 1,0,1
name theVoting Rules in Voting Rights on Shares in the 1,Policy 1,0,1
New Hire and Joining the Plan Mid-Year Catch-Up Contributions,Policy 1,0,1
no elections required in Benefits Enrollment Categories,Policy 2,1,0
No Guarantee of  Employment,Policy 1,0,1
No Guarantee of  Employment in Other Important Information in the 1,Policy 1,0,1
Nonhardship Withdrawal in In-Service Withdrawals,Policy 1,0,1
Nontaxable distributions  that cannot be Rolled Over,Policy 1,0,1
Number of Business days needed to get access to myHR,Policy 2,1,0
Number of Business days required to get access to myHR,Policy 2,1,0
Number of days needed to get access to myHR,Policy 2,1,0
Number of days required to get access to myHR,Policy 2,1,0
On what basis to choose to invest 1 assets?,Policy 1,0,1
On what events can I become 100% vested in any Company Contributions??,Policy 1,0,1
Online access Federal Tax Withholding,Policy 2,1,0
Online access Federal Tax Withholding  W-4 Form,Policy 2,1,0
Online access link Federal Tax Withholding,Policy 2,1,0
Online access link Federal Tax Withholding  W-4 Form,Policy 2,1,0
Online access link State Withholding Tax Form,Policy 2,1,0
Online access State Withholding Tax Form,Policy 2,1,0
